,Field_3,Field_4,Field_10,Field_12,Field_13,Field_19,Field_20,Field_21,Field_22,Field_23,Field_27,Field_28,Field_29,namSinh,gioiTinh,Field_36,Field_38,Field_39,Field_41,Field_42,Field_47,Field_50,Field_51,Field_53,Field_54,Field_55,Field_58,Field_59,Field_60,Field_62,Field_63,Field_64,Field_65,Field_66,Field_67,Field_69,Field_70,Field_71,Field_72,Field_73,Field_74,Field_75,Field_76,Field_77
5611,1.0,GH,1.0,G8,1.0,0.0,4600000.0,4.5,1.0,19.0,0.0,0.0,6.0,0.0,FEMALE,DN,0.0,1.0,0.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,33.0,2.0,I,0.0,1.0,Vùng 2,D,1031946.0,0.71,0.76,-0.045,1.44,1.0,719.0,4.0,0.0,2.0
5612,1.0,GH,1.0,G8,1.0,0.0,4260000.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TF,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,C,117328.0,0.0,0.49,0.245,0.49,1.0,344.0,3.0,2.0,1.0
5613,1.0,GH,1.0,G8,1.0,0.0,4300000.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TW,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,B,754668.0,0.09,0.52,0.305,0.43,1.0,360.0,7.0,1.0,6.0
5614,2.0,T1,1.0,G8,1.0,2.1,3129000.0,4.5,1.0,46.0,0.0,0.0,12.0,0.0,MALE,HC,0.0,1.0,1.0,1.0,Three,1.0,1.0,0.0,VN,FD,0.0,9.0,7.0,I,4.0,3.0,Vùng 3,C,578745.0,0.18,0.31,0.245,0.13,1.0,2901.0,6.0,1.0,5.0
5615,1.0,GH,1.0,G8,1.0,0.0,4632000.0,4.5,1.0,10.0,0.0,0.0,6.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TC,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,E,738342.0,0.1,0.69,0.395,0.59,1.0,2186.0,4.0,1.0,2.0
5616,1.0,GH,1.0,G8,1.0,0.0,2139000.0,4.5,1.0,43.0,0.0,0.0,12.0,0.0,MALE,CN,0.0,1.0,0.0,0.0,One,1.0,1.0,0.0,TH,TC,0.0,4.0,4.0,V,0.0,4.0,Vùng 1,C,202777.0,0.0,0.03,0.655,0.07,1.0,2181.0,7.0,1.0,2.0
5617,1.0,T1,1.0,G8,1.0,0.0,3665400.0,4.5,1.0,53.0,0.0,0.0,0.0,0.0,MALE,GD,0.0,1.0,0.0,1.0,Four,1.0,1.0,0.0,VN,BO,0.0,4.0,2.0,I,2.0,3.0,Vùng 2,F,67129.0,0.59,0.49,0.06,0.49,1.0,3265.0,1.0,2.0,6.0
5618,2.0,GH,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,31.0,3650000.0,0.0,24.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,3.0,I,2.0,1.0,Vùng 3,E,1060200.0,0.92,0.08,0.375,-0.32,1.0,2553.0,11.0,3.0,6.0
5619,2.0,GH,2.0,G8,1.0,0.0,4020000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,DN,0,1.0,0.0,1.0,Two,1.0,1.0,0.0,VN,YN,0.0,5.0,2.0,I,0.0,2.0,Vùng 3,H,765005.0,0.09,0.39,0.245,1.85,1.0,2550.0,8.0,1.0,1.0
5620,2.0,T1,1.0,G8,1.0,0.0,695000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,E,581756.0,0.34,0.0,0.17,-0.34,1.0,2525.0,4.0,1.0,4.0
5621,2.0,T1,1.0,G8,1.0,0.0,695000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,E,581756.0,0.34,0.0,0.17,-0.34,1.0,3992.0,4.0,1.0,4.0
5622,2.0,GH,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,MALE,GD,0,0.0,1.0,1.0,Two,1.0,1.0,0.0,VN,TA,4.0,33.0,4.0,I,2.0,2.0,Vùng 1,G,462865.0,0.28,0.3,0.09,0.27,1.0,1456.0,5.0,0.0,1.0
5623,2.0,GH,1.0,G8,1.0,0.0,745000.0,4.5,1.0,48.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,0.0,One,1.0,1.0,0.0,VN,TA,5.0,4.0,31.0,I,3.0,1.0,Vùng 2,E,56590.0,0.08,0.38,0.26,-0.27,1.0,1066.0,1.0,1.0,2.0
5624,2.0,GH,1.0,G8,1.0,0.0,3317000.0,4.5,1.0,7.0,0.0,0.0,0.0,0.0,FEMALE,CH,0.0,0.0,1.0,1.0,Two,1.0,1.0,0.0,VN,QW,0.0,6.0,3.0,I,2.0,1.0,Vùng 1,F,268642.0,0.5,0.03,0.175,1.01,1.0,1824.0,6.0,3.0,5.0
5625,2.0,T1,1.0,G8,1.0,0.0,4694900.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,FEMALE,DN,0,0.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,5.0,3.0,I,2.0,1.0,Vùng 2,G,382406.0,0.35,0.77,0.56,0.17,1.0,3267.0,3.0,0.0,0.0
5626,1.0,GH,1.0,G8,1.0,0.0,4027100.0,4.5,1.0,1.0,0.0,0.0,12.0,0.0,MALE,TN,0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TZ,0.0,5.0,79.0,I,2.0,1.0,Vùng 2,E,81862.0,0.76,0.28,0.175,0.11,1.0,716.0,7.0,0.0,5.0
5627,1.0,GH,1.0,G8,1.0,0.0,3100860.0,4.5,1.0,9.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,8.0,4.0,Vùng 4,G,615255.0,0.03,0.31,0.17,0.28,1.0,704.0,4.0,1.0,4.0
5628,2.0,T1,1.0,G8,1.0,0.0,4022346.0,4.5,1.0,75.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TW,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,E,995893.0,0.62,0.44,0.53,-0.18,1.0,2904.0,6.0,0.0,6.0
5629,2.0,T1,3.0,G8,1.0,0.0,4025000.0,4.5,1.0,94.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,0.0,Four,1.0,1.0,0.0,VN,YN,0.0,4.0,74.0,III,0.0,3.0,Vùng 1,G,767439.0,0.63,0.97,0.465,-0.05,1.0,-14.0,2.0,0.0,4.0
5630,2.0,GH,1.0,G8,1.0,0.0,3590900.0,4.5,1.0,0.0,0.0,0.0,9.0,0.0,MALE,GD,0.0,1.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,0.0,5.0,1.0,V,2.0,2.0,Vùng 1,F,496453.0,0.11,0.52,0.42,0.49,1.0,710.0,3.0,1.0,1.0
5631,2.0,T1,1.0,G8,1.0,0.0,4880000.0,4.5,1.0,16.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,3.0,2.0,Vùng 2,I,792178.0,0.02,0.74,0.38,0.72,1.0,2531.0,8.0,2.0,6.0
5632,1.0,T1,1.0,G8,1.0,0.0,10000000.0,4.5,1.0,326.0,0.0,0.0,12.0,0.0,MALE,CH,0.0,1.0,0.0,1.0,Two,1.0,1.0,0.0,VN,HE,0.0,33.0,2.0,II,2.0,1.0,Vùng 1,F,436559.0,0.11,0.08,0.04,0.3,1.0,1431.0,6.0,1.0,4.0
5633,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,12.0,0.0,0.0,13.0,0.0,FEMALE,GB,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,AR,0.0,53.0,76.0,IV,5.0,7.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",B,608260.0,0.0,0.08,0.04,0.08,0.0,359.0,6.0,2.0,6.0
5634,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,SV,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,AL,4.0,31.0,29.0,IV,2.0,1.0,Vùng 1,D,22911.0,0.0,0.08,0.04,0.08,1.0,-27.0,1.0,0.0,1.0
5635,2.0,GH,2.0,G8,1.0,0.0,5000000.0,4.5,1.0,7.0,0.0,0.0,0.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,BI,5.0,6.0,2.0,I,8.0,2.0,Vùng 1,D,776953.0,0.26,0.6,0.05,0.0,1.0,1813.0,7.0,0.0,1.0
5636,1.0,GH,1.0,G8,1.0,0.0,4260000.0,4.5,1.0,0.0,0.0,0.0,13.0,1.0,MALE,DN,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,AO,0.0,33.0,31.0,I,2.0,1.0,"DN đầu tư NN (Vùng 2 có ĐT) {10->14, 16, 19->23, 25, 29}",D,610082.0,1.0,0.01,0.04,-0.02,1.0,347.0,2.0,0.0,1.0
5637,1.0,GH,1.0,G8,1.0,0.0,4258600.0,4.5,1.0,7.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,E,650020.0,0.0,0.49,0.245,0.49,1.0,1075.0,6.0,1.0,5.0
5638,2.0,GH,1.0,G8,1.0,0.0,4000000.0,4.5,1.0,91.0,0.0,0.0,0.0,0.0,FEMALE,GD,0.0,1.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,TD,0.0,5.0,3.0,I,8.0,3.0,Vùng 1,C,443877.0,0.0,0.35,0.69,-0.15,1.0,3640.0,5.0,0.0,0.0
5639,1.0,T1,1.0,G8,1.0,0.0,4258600.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,FEMALE,TN,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,YN,4.0,33.0,31.0,I,2.0,1.0,Vùng 3,D,667052.0,0.09,0.0,0.79,0.12,1.0,709.0,8.0,1.0,1.0
5640,1.0,GH,1.0,G8,1.0,0.0,5620000.0,4.5,1.0,3.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,0.0,31.0,2.0,I,3.0,1.0,Vùng 1,B,1099497.0,0.23,0.69,0.51,0.44,1.0,2551.0,1.0,3.0,1.0
5641,2.0,T1,1.0,G8,1.0,0.0,596000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,D,581827.0,0.0,0.0,0.0,0.0,1.0,4001.0,3.0,1.0,1.0
5642,1.0,GH,1.0,G8,1.0,3.674,5474260.0,4.5,1.0,159.0,0.0,0.0,12.0,0.0,MALE,HC,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,HJ,0.0,6.0,4.0,I,8.0,4.0,Vùng 4,C,367450.0,0.87,0.83,0.85,-0.04,1.0,4004.0,3.0,2.0,3.0
5643,1.0,GH,1.0,G8,1.0,0.0,3988900.0,4.5,1.0,51.0,0.0,0.0,12.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TZ,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,F,588569.0,0.0,0.43,0.215,0.43,1.0,3650.0,7.0,2.0,5.0
5644,2.0,T1,1.0,G8,1.0,0.0,2943000.0,4.5,1.0,36.0,2943000.0,132435.0,6.0,0.0,MALE,DN,0.0,0.0,0.0,0.0,Four,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,E,583773.0,0.0,0.3,0.15,0.3,1.0,1069.0,13.0,4.0,5.0
5645,1.0,GH,1.0,G8,1.0,2.67,3978300.0,4.5,1.0,67.0,0.0,0.0,12.0,0.0,FEMALE,HC,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,FF,0.0,9.0,7.0,I,3.0,2.0,Vùng 2,C,367050.0,0.39,0.43,0.41,0.04,1.0,1435.0,4.0,2.0,4.0
5646,1.0,GH,1.0,G8,1.0,3.33,4961700.0,4.5,1.0,153.0,0.0,0.0,12.0,0.0,MALE,HC,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,HI,0.0,6.0,4.0,I,8.0,4.0,Vùng 4,C,365126.0,0.63,0.76,0.695,0.13,1.0,1068.0,3.0,1.0,3.0
5647,2.0,T1,1.0,G8,1.0,0.0,1300000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,GD,0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,D,581826.0,0.36,0.08,0.22,-0.28,1.0,699.0,5.0,0.0,5.0
5648,1.0,GH,1.0,G8,1.0,1.0,1490000.0,4.5,1.0,24.0,0.0,0.0,12.0,0.0,MALE,CN,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,AI,4.0,51.0,74.0,IV,3.0,2.0,Vùng 2,B,581530.0,0.0,0.12,0.06,0.12,1.0,2160.0,6.0,3.0,6.0
5649,2.0,T1,1.0,G8,1.0,0.0,745000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,E,581726.0,0.08,0.0,0.04,-0.08,1.0,714.0,13.0,6.0,11.0
5650,2.0,T1,1.0,G8,1.0,0.0,1043000.0,4.5,1.0,24.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,D,580338.0,0.44,0.05,0.245,-0.39,1.0,4732.0,5.0,2.0,5.0
5651,1.0,T1,1.0,G8,1.0,0.0,5589000.0,4.5,1.0,4.0,0.0,0.0,0.0,0.0,MALE,GD,0.0,1.0,1.0,0.0,One,1.0,1.0,0.0,VN,YN,0.0,82.0,31.0,I,2.0,1.0,Vùng 2,E,776541.0,0.0,0.35,0.235,0.3,1.0,2895.0,7.0,2.0,4.0
5652,2.0,T1,1.0,G8,1.0,0.0,3100860.0,4.5,1.0,38.0,0.0,0.0,7.0,0.0,FEMALE,DN,0.0,1.0,0.0,0.0,Two,1.0,1.0,0.0,VN,YN,0.0,33.0,4.0,V,2.0,1.0,Vùng 2,C,711249.0,0.36,0.41,0.42,0.15,1.0,3992.0,4.0,0.0,1.0
5653,2.0,GH,1.0,G8,1.0,0.0,4140000.0,4.5,1.0,15.0,0.0,189000.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Three,1.0,1.0,0.0,VN,T5,0.0,3.0,2.0,I,3.0,2.0,Vùng 3,D,267465.0,0.45,0.12,0.63,0.44,1.0,2903.0,1.0,1.0,12.0
5654,1.0,T1,1.0,G8,1.0,1.0,1390000.0,4.5,1.0,58.0,1968000.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,4.0,35.0,33.0,I,5.0,3.0,Vùng 1,F,70869.0,0.19,0.31,0.04,0.27,1.0,722.0,14.0,0.0,4.0
5655,2.0,T1,1.0,G8,1.0,0.0,3553000.0,4.5,1.0,7.0,0.0,0.0,5.0,0.0,FEMALE,DN,0.0,1.0,0.0,0.0,One,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,H,650217.0,0.0,0.35,0.175,0.35,1.0,3990.0,4.0,0.0,2.0
5656,1.0,GH,1.0,G8,1.0,0.0,3969700.0,4.5,1.0,7.0,0.0,0.0,3.0,0.0,FEMALE,DN,0.0,1.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,33.0,2.0,V,3.0,1.0,Vùng 1,E,367690.0,0.03,0.48,0.85,0.0,1.0,2901.0,1.0,0.0,12.0
5657,2.0,T1,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,D,581771.0,1.0,0.12,0.56,-0.88,1.0,3650.0,6.0,3.0,4.0
5658,1.0,T1,1.0,G8,1.0,0.0,3800000.0,4.5,1.0,0.0,0.0,0.0,12.0,1.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TA,5.0,6.0,31.0,I,4.0,1.0,Vùng 3,C,473043.0,0.69,0.95,0.9,-0.13,1.0,1822.0,3.0,2.0,2.0
5659,2.0,T1,1.0,G8,1.0,0.0,3480000.0,4.5,1.0,96.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TB,0.0,5.0,3.0,I,4.0,3.0,Vùng 3,D,580858.0,0.73,0.35,0.54,-0.38,1.0,2901.0,7.0,1.0,5.0
5660,2.0,T1,1.0,G8,1.0,0.0,3969700.0,4.5,1.0,36.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,TK,TW,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,E,846028.0,0.75,0.43,0.59,-0.32,1.0,1454.0,3.0,2.0,3.0
5661,2.0,T1,1.0,G8,1.0,0.0,5511404.0,4.5,1.0,58.0,0.0,0.0,4.0,0.0,MALE,TN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,BO,2.0,35.0,33.0,II,3.0,2.0,Vùng 2,G,585967.0,0.95,0.84,0.895,-0.11,1.0,1799.0,13.0,2.0,9.0
5662,1.0,GH,1.0,G8,1.0,0.0,894000.0,4.5,1.0,16.0,0.0,103500.0,0.0,0.0,MALE,DN,0.0,1.0,0.0,1.0,Four,1.0,1.0,0.0,VN,QW,0.0,4.0,3.0,I,0.0,3.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",B,1144225.0,0.21,0.35,0.515,-0.03,1.0,1450.0,3.0,1.0,3.0
5663,1.0,GH,1.0,G8,1.0,0.0,4100000.0,4.5,1.0,14.0,0.0,0.0,2.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TH,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,E,284287.0,0.04,0.48,0.26,0.44,1.0,3269.0,6.0,0.0,3.0
5664,2.0,T1,1.0,G8,1.0,0.0,834000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,D,580348.0,0.04,0.01,0.025,-0.03,1.0,2526.0,10.0,0.0,6.0
5665,1.0,GH,1.0,G8,1.0,0.0,4500000.0,4.5,1.0,10.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,IL,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,D,784614.0,0.1,0.62,0.36,0.52,1.0,361.0,6.0,3.0,5.0
5666,2.0,GH,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,0.0,0.0,1.0,One,1.0,1.0,0.0,VN,BI,0.0,5.0,29.0,I,2.0,7.0,Vùng 2,I,756971.0,0.44,0.6,0.895,0.18,1.0,348.0,7.0,1.0,5.0
5667,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,74.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TO,5.0,4.0,3.0,V,2.0,1.0,Vùng 1,F,711536.0,0.69,0.05,0.245,-0.01,1.0,1085.0,4.0,1.0,4.0
5668,1.0,GH,1.0,G8,1.0,0.0,4000000.0,4.5,1.0,14.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,C,583601.0,0.19,0.44,0.315,0.25,1.0,2165.0,4.0,0.0,4.0
5669,2.0,GH,1.0,G8,1.0,1.0,3818000.0,4.5,1.0,56.0,0.0,0.0,12.0,0.0,FEMALE,TN,0.0,0.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,I,789541.0,0.92,0.88,0.245,0.05,1.0,1818.0,6.0,2.0,2.0
5670,2.0,T1,1.0,G8,1.0,3.6630000000000003,5307000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,TK,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,35.0,3.0,I,2.0,2.0,Vùng 3,B,716173.0,0.96,0.12,0.04,-0.5,1.0,1441.0,3.0,0.0,0.0
5671,2.0,T1,1.0,G8,1.0,0.0,1210000.0,4.5,1.0,0.0,0.0,0.0,6.0,0.0,MALE,SV,0,0.0,0.0,0.0,One,1.0,1.0,0.0,VN,BD,4.0,31.0,29.0,IV,2.0,1.0,Vùng 1,B,776527.0,0.0,0.08,0.04,0.08,0.0,3275.0,3.0,0.0,2.0
5672,2.0,T1,1.0,G8,1.0,0.0,3307000.0,4.5,1.0,2.0,0.0,153113.0,5.0,0.0,FEMALE,GB,0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,HJ,0.0,4.0,3.0,V,3.0,7.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",F,433453.0,0.99,0.35,0.04,0.03,1.0,-25.0,3.0,6.0,1.0
5673,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,SV,0.0,0.0,0.0,0.0,One,1.0,1.0,0.0,VN,BD,4.0,31.0,29.0,IV,2.0,1.0,Vùng 1,D,776541.0,0.0,0.08,0.04,0.08,1.0,1093.0,1.0,0.0,1.0
5674,2.0,T1,1.0,G8,1.0,0.0,3650000.0,4.5,1.0,0.0,3650000.0,164250.0,3.0,0.0,MALE,DN,0,0.0,0.0,0.0,One,1.0,1.0,0.0,KP,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,E,783913.0,0.0,0.38,0.19,0.38,1.0,2168.0,4.0,0.0,4.0
5675,1.0,T1,1.0,G8,1.0,0.0,1043000.0,4.5,1.0,35.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,0.0,0.0,0.0,One,1.0,1.0,0.0,VN,TB,0.0,33.0,3.0,I,3.0,3.0,Vùng 1,C,821319.0,0.73,0.01,0.455,0.14,1.0,2533.0,3.0,2.0,6.0
5676,2.0,GH,1.0,G8,1.0,0.0,2700000.0,4.5,1.0,30.0,0.0,0.0,3.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,BI,0.0,5.0,2.0,I,4.0,4.0,Vùng 3,F,232682.0,0.8,0.87,0.5,0.55,1.0,1444.0,5.0,4.0,4.0
5677,2.0,T1,1.0,G8,1.0,0.0,3477500.0,4.5,1.0,31.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,4.0,3.0,Vùng 3,E,538878.0,0.15,0.35,0.25,0.2,1.0,1798.0,4.0,0.0,4.0
5678,2.0,T1,1.0,G8,1.0,0.0,4970000.0,4.5,1.0,61.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,0.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,0.0,4.0,79.0,I,2.0,2.0,Vùng 2,F,116399.0,0.69,0.89,0.93,0.51,1.0,2526.0,4.0,0.0,6.0
5679,1.0,GH,1.0,G8,1.0,0.0,3244500.0,4.5,1.0,3.0,0.0,0.0,0.0,0.0,MALE,CH,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,HJ,0.0,4.0,3.0,II,4.0,2.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",C,351601.0,0.86,0.62,0.23,0.15,1.0,3268.0,5.0,0.0,6.0
5680,2.0,GH,1.0,G8,1.0,0.0,1642600.0,4.5,1.0,209.0,0.0,0.0,24.0,0.0,MALE,DN,0.0,1.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,TA,0.0,4.0,2.0,I,4.0,2.0,Vùng 2,C,1183051.0,0.99,0.08,0.385,0.46,1.0,1068.0,4.0,2.0,5.0
5681,2.0,T1,1.0,G8,1.0,0.0,3618800.0,4.5,1.0,2.0,0.0,0.0,12.0,0.0,MALE,CN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TA,0.0,5.0,4.0,I,4.0,1.0,Vùng 2,G,607201.0,0.17,0.88,0.215,0.35,1.0,1430.0,3.0,1.0,4.0
5682,2.0,T1,3.0,G8,1.0,0.0,1490000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,HC,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TD,0.0,33.0,74.0,I,3.0,1.0,Vùng 2,G,642829.0,0.0,0.48,0.66,-0.03,1.0,3991.0,4.0,0.0,4.0
5683,1.0,GH,2.0,G8,1.0,0.0,2889000.0,4.5,1.0,34.0,2889000.0,130005.0,12.0,0.0,MALE,DN,0.0,1.0,0.0,0.0,Three,1.0,1.0,0.0,VN,TZ,0.0,5.0,3.0,I,4.0,3.0,Vùng 3,E,332397.0,0.0,0.29,0.145,0.29,1.0,343.0,6.0,0.0,2.0
5684,2.0,T1,1.0,G8,1.0,0.0,5331300.0,4.5,1.0,42.0,0.0,0.0,6.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,H,202777.0,0.29,0.82,0.555,0.53,1.0,-22.0,1.0,0.0,1.0
5685,2.0,T1,1.0,G8,1.0,0.0,4923000.0,4.5,1.0,6.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,4.0,3.0,Vùng 3,G,532724.0,0.33,0.76,0.545,0.43,1.0,1443.0,4.0,1.0,4.0
5686,1.0,GH,1.0,G8,1.0,1.67,2488300.0,4.5,1.0,28.0,0.0,0.0,12.0,0.0,FEMALE,DN,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,TW,0.0,5.0,3.0,I,4.0,3.0,Vùng 3,F,532661.0,0.0,0.28,0.14,0.28,1.0,2527.0,6.0,1.0,2.0
